0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,7,1,5,0,1,0,0,0,0,0,0,0,0,0,0,180120614.91322458,0.0,94261992.17022607,0.004816167462791008,126369069.38580129,0.0203130537793499,5766318.298498461,0.00025747583151996064,27586914.76696829,0.0022350599264954725,205800000.0,8138.954239392224
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,7,3,0,0,0,0,4,7,0,4,1,1,6,6,176837172.6879249,0.0,21922756.80707896,0.005544162833463429,65547722.11683032,0.0,21054944.498831436,0.0005756041350087658,121239297.53018345,0.0008865759331501916,213300000.0,621.6663499585602
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,0,4,0,0,0,0,1,0,0,3,1,0,124231115.41096926,0.0,85876904.76946647,0.0027653783145158172,187209207.8992201,0.030156674470078203,6320800.309666242,0.0,58044072.09764524,0.0,84600000.0,7580.275062811219
0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,3,7,0,0,0,0,3,7,0,0,0,0,0,7,154372360.49308634,0.0,46080423.66590839,0.03266212629186073,79719358.72742206,0.023407656684661333,0.0,0.0,44193513.54513965,0.0,613800000.0,0.0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,7,0,0,1,0,2,0,0,0,0,0,0,0,153989720.82604834,0.0011797443607362117,103014291.39813459,0.006892699657948937,33203031.911291026,0.002212805605504474,2785770.634820701,0.00015062930316008563,0.0,0.0,242400000.0,2694.9453219074994
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,7,0,5,0,0,0,1,0,0,0,0,0,0,1,3,136422954.7271911,0.0,46321877.89795314,0.011879925835132314,20299287.62732069,0.0,0.0,0.0,70219335.12692095,0.0033525898897432084,664100000.0,1235.2048240490185
0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,3,0,7,6,2,1,0,184259399.2099614,0.0223003581207906,16777451.420080442,0.004234806642490497,45324187.55237766,0.0,31146247.9256426,0.00012249939189865473,54355764.74753119,0.0,213300000.0,946.3359060375305
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,7,0,1,2,0,3,4,0,0,0,0,3,0,263411491.52410418,0.0,123557517.11677025,0.029339417360670982,85067453.95317918,0.04212210955827455,8397307.330460537,0.0032573111793773074,30351526.042379983,0.0,121200000.0,0.0
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,1,0,3,243545162.70711505,0.1081609536390205,26328886.486256573,0.018512735504986475,46650169.32145682,0.0,4217709.790260309,0.0015790701460984208,56425877.743436806,0.0,317500000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,0,3,0,68139002.95605196,0.0,114323696.17176059,0.04716232995837975,186377400.6331564,0.249279804423845,12215894.573024476,0.0020880277488916008,47237717.49687941,0.011383219555948332,84600000.0,0.0
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0,5,0,0,1,6,3,0,1,1,0,0,0,37255203.23710208,0.0,59410102.93073928,0.0,91088890.12497139,0.0015562048331443801,17979385.182685703,0.000294004076224928,29757731.5871829,0.0030272441925481594,357700000.0,1566.2515338425453
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,1,1,0,0,309434939.2050195,0.16224143045853073,16513481.45444186,0.011522457035203845,81671571.53417823,0.0,21914007.799873903,0.0055126146598931626,25037214.086173728,0.0,61400000.0,0.0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,1,0,0,248581465.1243893,0.1081609536390205,30013221.131461337,0.021207358014675583,41803874.7093775,0.010079664119931029,3679411.6673558904,0.001354268774483077,25037214.086173728,0.0,151900000.0,0.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,3,1,0,6,0,0,0,0,3,4,81114419.47495492,0.007864962404908077,138748579.91332257,0.007068131163189656,76922686.288426,0.03253329715448232,12721281.128869578,0.005017233307406901,90947952.76598376,0.016048437370849045,151900000.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,4,0,1,0,3,95721824.01609533,0.005662772931533815,46563332.129997894,0.012001486205194763,37437095.41538829,0.007349112026405881,15717383.556149531,0.0007820655540926773,56425877.743436806,0.0,30700000.0,1504.597902879696
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,1,0,0,0,0,6,7,0,0,0,0,0,0,136578326.41305238,0.0,46321877.89795314,0.03299979398647865,96054458.1142413,0.03037082213008184,7853224.929641033,0.0029369950841829345,41380372.150452435,0.0279382490811934,151900000.0,0.0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,10,0,0,0,3,0,0,1,1,0,2,0,2,3,95107331.23784721,0.0,97964893.89631155,0.004275621959308708,113621257.22124787,0.015008493759818668,13903423.98391871,0.0,60039471.119519606,0.0,339000000.0,5165.464734429377
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,3,7,3,5,0,0,0,0,1,0,1,7,0,0,1,4,197170433.52468663,0.0,21922756.80707896,0.0018480542778211428,20299287.62732069,0.0,24668649.930185735,0.000169351820217596,88824173.24470077,0.002397569547970833,297900000.0,2471.8784548700232
0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,5,7,0,0,1,1,3,3,1,0,0,0,0,0,237721607.13171732,0.05408047681951025,48227519.61317892,0.006979793939791574,73003113.46313787,0.0,7826274.9759609485,0.0005968444060085663,13487760.821737071,0.009124110952921566,334500000.0,0.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,5,0,0,0,2,0,0,0.0,0.0,138724961.8150669,0.0,154159073.90746486,0.06079954481859001,20632349.54856047,0.0027455397537809122,27578229.96765524,0.0,84600000.0,2561.6309995716997
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,1,1,0,0,0,0,9,3,0,3,0,78453877.84187987,0.0,122326991.44983071,0.011486120139812121,126536028.85975358,0.061085544421149926,30113241.122596353,6.754867435597778e-05,30351526.042379983,0.0,121200000.0,2943.751356172762
0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,2,7,2,6,0,0,0,3,1,0,0,1,0,0,5,0,197429601.30639416,0.0,21806832.32220212,0.0022857502240813555,46650169.32145682,0.0,10658307.249621904,0.00024432307932107197,38109014.266408645,0.00014485920283236538,419100000.0,960.3209337050303
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,6,1,1,0,253592265.10531533,0.04176932977581429,26328886.486256573,0.006664584781795131,22167818.198803753,0.0,30171331.38586271,0.0009922706387807691,50929971.20054293,0.0,61400000.0,1818.067521216302
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,3,0,0,0,0,0,3,0,0,0,1,2,0,180824753.63060838,0.0,97554993.50776674,0.06913445786289543,147682305.820633,0.16431775777201127,1614502.8250590053,0.0005775097625529311,53557815.768892445,0.0,256100000.00000003,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,2,1,0,0,0,0,9,0,0,2,0,181598857.57688636,0.01946897165502369,112848661.94168186,0.007389810562057783,126709496.81401923,0.061237633867549046,18674915.223181102,6.754867435597778e-05,27578229.96765524,0.0,121200000.0,3141.9512082128713
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,5,0,0,2,0,3,3,0,1,0,0,0,1,198124283.44926333,0.05408047681951025,62634109.04373358,0.013929268521586357,50962397.12067895,0.0,12100365.996913102,0.002278312817982996,53462734.4401593,0.019310473865968607,182600000.0,0.0
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,6,0,0,0,0,0,0,6,0,3,0,0,0,0,95486976.46933737,0.0,21806832.32220212,0.015238334827209037,31398797.71871161,0.0,12021891.166421767,0.0013284907511980884,4297015.2783424575,0.002897184056647307,552300000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,7,0,0,1,0,0,3,1,184259399.2099614,0.009291815883662749,93844876.21053568,0.0059327103954792335,65887382.49313286,0.006318316433741184,8700717.502277462,0.00013694246420152081,58044072.09764524,0.0,121200000.0,3758.9049533117104
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,1,212648321.81851235,0.05408047681951025,38167549.51470724,0.027103576000577112,48874532.2528279,0.010079664119931029,5766318.298498461,0.002145631929333006,38830671.469657876,0.009312749693731134,151900000.0,0.0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,3,7,1,0,4,0,1,0,0,111738176.02288951,0.0,46563332.129997894,0.004000495401731589,90454561.25414468,0.0,15717383.556149531,0.0002606885180308924,25037214.086173728,0.0,199900000.0,2223.679720742699
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,1,0,0,3,0,134996357.6629468,0.0,97554993.50776674,0.06913445786289543,185545593.36709264,0.24725398826370498,12215894.573024476,0.0020880277488916008,47237717.49687941,0.011383219555948332,84600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,1,1,1,7,3,0,0,140400182.97210857,0.05408047681951025,53358573.6002109,0.0,163523373.80508763,0.16505008733965548,28110557.82447955,0.0,30351526.042379983,0.0,0.0,0.0
